category,company,domain
Semiconductor Manufacturing,Wolfspeed,wolfspeed.com
Semiconductor Manufacturing,X-FAB,xfab.com
Test and Measurement,Agilent,agilent.com
Test and Measurement,Anritsu,anritsu.com
Test and Measurement,Bruker,bruker.com
Test and Measurement,Chromaate,chromaate.com
Test and Measurement,Exfo,exfo.com
Test and Measurement,Fluke,fluke.com
Test and Measurement,Fortive,fortive.com
Test and Measurement,Hamamatsu,hamamatsu.com
Test and Measurement,Jeol,jeol.com
Test and Measurement,Keysight,keysight.com
Test and Measurement,National Instruments,ni.com
Test and Measurement,Rohde Schwarz,rohde-schwarz.com
Test and Measurement,Spirent,spirent.com
Test and Measurement,TEK,tek.com
Test and Measurement,Thermo Fisher,thermofisher.com
Test and Measurement,Yokogawa,yokogawa.com
Test and Measurement,Zeiss,zeiss.com
Trading,Akuna Capital,akunacapital.com
Trading,Citadel Securities,citadelsecurities.com
Trading,DRW,drw.com
Trading,Flow Traders,flowtraders.com
Trading,GTS,gtsx.com
Trading,Headlands Technologies,headlandstech.com
Trading,Hudson River Trading,hudsonrivertrading.com
Trading,IMC Trading,imc.com
Trading,Jane Street,janestreet.com
Trading,Jump Trading,jumptrading.com
Trading,Optiver,optiver.com
Trading,PDT Partners,pdtpartners.com
Trading,Quantlab,quantlab.com
Trading,Renaissance Technologies,rentec.com
Trading,Susquehanna (SIG),sig.com
Trading,Tower Research Capital,tower-research.com
Trading,Two Sigma,twosigma.com
Trading,Virtu Financial,virtu.com
Trading,XTX Markets,xtxmarkets.com
Venture Capital,8VC,8vc.com
Venture Capital,AlleyCorp,alleycorp.com
Venture Capital,Andreessen Horowitz,a16z.com
Venture Capital,Anzu Partners,anzupartners.com
Venture Capital,Applied Ventures,appliedventures.com
Venture Capital,Bain Capital,baincapital.com
Venture Capital,Battery Ventures,battery.com
Venture Capital,Berkeley SkyDeck Fund,skydeck.vc
Venture Capital,Bessemer Venture Partners,bvp.com
Venture Capital,Bosch Ventures,rbvc.com
Venture Capital,BoxGroup,boxgroup.com
Venture Capital,Cambium Capital,cambium.vc
Venture Capital,Candou Ventures,candouventures.com
Venture Capital,Carmel Ventures,carmelventures.com
Venture Capital,Celesta Capital,celestacap.com
Venture Capital,Cerberus,cerberus.com
Venture Capital,Coatue,coatue.com
Venture Capital,DCVC,dcvc.com
Venture Capital,Dell Technologies Capital,delltechnologies.com
Venture Capital,Eclipse Ventures,eclipse.vc
Venture Capital,Encoded Ventures,encoded.vc
Venture Capital,Foundation Capital,foundationcapital.com
Venture Capital,Founders Fund,foundersfund.com
Venture Capital,Fundomo,fundomo.com
Venture Capital,General Catalyst,generalcatalyst.com
Venture Capital,Google Ventures,gv.com
Venture Capital,Grove Ventures,grovevc.com
Venture Capital,Inflection,inflection.fund
Venture Capital,Insight Partners,insightpartners.com
Venture Capital,Intel Capital,intelcapital.com
Venture Capital,J2 Ventures,j2vp.com
Venture Capital,Khosla Ventures,khoslaventures.com
Venture Capital,Kleiner Perkins,kleinerperkins.com
Venture Capital,Korea Development Bank,kdb.co.kr
Venture Capital,Lavrock Ventures,lavrockvc.com
Venture Capital,Lightspeed Venture Partners,lsvp.com
Venture Capital,Lux Capital,luxcapital.com
Venture Capital,M Ventures,m-ventures.com
Venture Capital,Matrix,matrix.vc
Venture Capital,Matter Venture Partners,mattervp.com
Venture Capital,Maverick Silicon,mavericksilicon.com
Venture Capital,Mayfield,mayfield.com
Venture Capital,Millennium Technology Value Partners,mtvlp.com
Venture Capital,NEA,nea.com
Venture Capital,New North Ventures,newnorthvc.com
Venture Capital,Pioneer Fund,pioneerfund.vc
Venture Capital,Playground Global,playground.global
Venture Capital,Plug and Play,plugandplaytechcenter.com
Venture Capital,Qualcomm Ventures,qualcommventures.com
Venture Capital,Samsung Catalyst Fund,samsungcatalyst.com
Venture Capital,Samsung Ventures,samsungventures.com
Venture Capital,Sequoia Capital,sequoiacap.com
Venture Capital,SkyRiver Ventures,skyriverventures.com
Venture Capital,Soma Capital,somacap.com
Venture Capital,Sony Innovation Fund,sonyinnovationfund.com
Venture Capital,Summit Partners,summitpartners.com
Venture Capital,Sutter Hill Ventures,shv.com
Venture Capital,Triatomic Capital,triatomic.capital
Venture Capital,Tyche Partners,tychepartners.com
Venture Capital,Vargas Holding,vargasholding.com
Venture Capital,Viola,viola-group.com
Venture Capital,Walden Catalyst,waldencatalyst.com
Venture Capital,Walden International,waldenintl.com
Consulting,AlixPartners,alixpartners.com
Consulting,Alvarez & Marsal,alvarezandmarsal.com
Consulting,Arthur D. Little,adlittle.com
Consulting,Bain & Company,bain.com
Consulting,Booz Allen Hamilton,boozallen.com
Consulting,Boston Consulting Group,bcg.com
Consulting,Deloitte,deloitte.com
Consulting,EY,ey.com
Consulting,FTI Consulting,fticonsulting.com
Consulting,Gartner,gartner.com
Consulting,Kearney,kearney.com
Consulting,Korn Ferry,kornferry.com
Consulting,KPMG,kpmg.com
Consulting,L.E.K. Consulting,lek.com
Consulting,McKinsey & Company,mckinsey.com
Consulting,Mercer,mercer.com
Consulting,Oliver Wyman,oliverwyman.com
Consulting,PwC,pwc.com
Consulting,Roland Berger,rolandberger.com
Consulting,Simon-Kucher,simon-kucher.com
Outsourcing,Accenture,accenture.com
Outsourcing,Atos,atos.net
Outsourcing,Capgemini,capgemini.com
Outsourcing,Cognizant,cognizant.com
Outsourcing,Concentrix,concentrix.com
Outsourcing,Conduent,conduent.com
Outsourcing,DXC Technology,dxc.com
Outsourcing,EXL Service,exlservice.com
Outsourcing,Genpact,genpact.com
Outsourcing,HCLTech,hcltech.com
Outsourcing,Infosys,infosys.com
Outsourcing,Kyndryl,kyndryl.com
Outsourcing,LTIMindtree,ltimindtree.com
Outsourcing,Mphasis,mphasis.com
Outsourcing,NTT Data,nttdata.com
Outsourcing,Sutherland,sutherlandglobal.com
Outsourcing,Tata Consultancy Services,tcs.com
Outsourcing,Tech Mahindra,techmahindra.com
Outsourcing,Wipro,wipro.com
Outsourcing,WNS Global Services,wns.com
